featureid	Intercept	meteor_season[T.spring]	meteor_season[T.summer]	meteor_season[T.winter]	bbp_anomaly[T.TRUE]
155b4e275f3f5ceaeeda0046cdcfabf5	0.17984138011619777	-0.5909672549968095	-0.5843571381793797	1.5082643842741987	-0.5761082699561051
15877f7116a2e9c2e72f9dec48411b9c	-0.5075437244804171	0.7536034711594253	0.08677468130723831	-0.760792457456871	1.065275139544017
15c989cf50de6e0c0c3d77a8780f2c70	-0.1844117385180244	0.009689701437440412	0.6009931308998286	-0.6481610768988588	-0.14471291806935582
15d7f94bd580cfd64fb5eda3baa325cb	-0.5847322684557703	0.9210688003296523	-0.43079164197309616	-0.6630015158608416	0.8496301839089471
15fcfd8cbcda357ef900ecf9584524d3	-0.9713493776352671	-1.352396237016234	-0.8588361473904431	2.656513056759551	3.1361360022759515
163a530dcfe7025bdd09ae274d7d4379	-0.840990651849058	-0.24189733183434914	-0.28570743968351486	-0.3662737095311144	-0.3265972664618406
1678c6caa570f8e49a277070f90fec91	-0.840990651849058	-0.24189733183434914	-0.28570743968351486	-0.3662737095311144	-0.3265972664618406
16933671f6281f3b7f7c905fdcec8c2d	-0.6736149084599283	0.21596707189032127	-0.3464234726653874	-0.4801781856968841	0.1310074994301873
1697b80eb9fa712da899eac0c2ba5508	1.8584427642791006	-0.10040192520669411	2.43885156939165	0.5223769760176689	-2.1703494122290543
169999fe9ccf2836c726871c408ebdb9	0.8705224800078604	2.484536422132936	-0.8595171900616467	-0.35514459847955493	-1.3379053106570176
16e89e859f69dd2bb482a128cdab7f6b	-0.2987641733916053	0.27374364221045067	0.5516361934913805	-0.729272530372425	0.5744691560006219
172866da19355f3b69f578ab3e126a1d	-0.4833494466574457	-0.39908655202439736	-0.3917949455009282	0.3833019352004081	-0.058738284375660754
173eb9057e92f0fe3b84f600e4c3eb4a	0.016530733105396322	1.2219939359421401	-0.5167120354400456	-0.647865065331743	-0.9991188427472046
1740d2271aa2cd91c604ce57d39acb73	-0.48887117624595433	-0.14672582066110085	0.09010777304307815	0.07226338148565592	0.9536435076928216
1751391039419bbd62c413ed4a988cf6	-0.970299859050062	-0.8407839148347707	-0.26073559691770676	2.5204969263121635	2.9334239432549545
175b98a400e23e85f96d1f64e0dc7534	-0.2718457770378855	0.743132842421022	-0.6238596992717564	0.8356110668227226	1.3536765048241692
17642f5ee701ece4f2363f29f38505fe	0.28037915706321925	1.185820234655825	-0.7114060776458562	0.5553185558363944	0.3695749709343987
178948d03f5bab58debeabafd56abb38	0.08864353179619044	0.35266698682257225	-0.557414289020139	0.41843970776052775	-0.5102905562186173
17a295a9cb03b308fc2b3741be9db5df	0.6986900377242318	0.27893937909552147	0.6687493068947017	0.01030363798590006	-0.8408781942950121
17f2424534552df8c8eb6d9be86e5958	-0.17899576247050852	-0.33414642727426	-0.08214017321928146	1.156789622311309	1.0042596528267929
1857a446e1144ba89fd84a67815a66f5	0.32068679809257716	-0.6071480087046952	1.9303669674171626	-0.7833623112693271	-1.0343834539914063
18a4cea66254ebdc702437535c3d68a5	-0.5451805633337763	-0.3188354245429368	-0.35387888123853806	0.1009192085310966	-0.480023764636508
18a928980573aec35afd67a051174c76	0.11743150233909816	0.192464364408937	1.0340947849525621	-0.8029479132547834	-0.06274467017888341
18ad57dadfc3fa7e6cdaa8f697191939	0.42689595698997884	-2.4227141014342637	-1.7499353544936955	0.4739844417616874	3.351820654604442
18d7f2b2f7d5d2d06154a0a2fc595b79	-0.03456746459319682	0.8000266679520278	-0.5581698971019566	0.026565573219968996	0.12710643503428187
19058274588aa50ec14b1fbca8c360dd	-0.840990651849058	-0.24189733183434914	-0.28570743968351486	-0.3662737095311144	-0.3265972664618406
192614ce2150781abb11473b88c91ca2	1.9981150436370108	1.4167609342331557	-1.4851331966148198	0.8835370159194023	-0.803991687115424
197a7dd967f67b41022d44b7fa41ff3a	0.06392095565483302	-0.49416993773034346	-0.5278926151023686	1.1443662262007743	-1.0241816720032606
19ab9d91917d6775be2fd2d1c8f513be	2.644428472515795	-0.44471304333260964	-1.8536167400108159	0.9395205593153984	-1.4971987536215714
19c878d4139a52c22a3e3096424c2e0f	-0.5756374490292337	0.04901994550177147	0.19966063330308792	-0.5963803464129409	0.49483556244135585
19e7c562437dfdd0072277ed4762bfa6	-0.5042349141867426	-0.3391768506770463	0.3038118822349718	-0.4767185831025085	-0.44823490884541783
1a1557ad2d08fb98882e36664a0bed01	0.3444583821265432	0.4682352670426049	-0.723507876895507	1.3006106233641654	0.2292113969063836
1a361d78b3d253f66fab5e0e8ea7275f	-0.33511098146751017	0.6298039087052016	0.08925721476213333	-0.7032965654089907	0.4945241877770492
1a412dbbf2306def44a6d6824b2e5d63	-0.463621102723625	-0.46380661642602217	-0.41881742646558884	0.60152336121054	0.24779386017084892
1a596c23c107649a794bb723ba4957ee	-0.3056507897408274	0.16903181159445424	-0.42817440202100876	-0.061522939200683524	-0.6351241400504044
1a629beb4585d163a7f1730438349943	0.9201413202254525	1.969404471754518	-0.38423731496198776	-0.34185061692742913	-1.6356956293845109
1a645a20f86d5d0271bf5c60fa6365f8	0.5368017363517019	-0.2595247498755784	0.7860870105995357	0.12600674391241373	-1.1008245876097593
1a6d08df83e9a08a93d7cb32d4db29ab	1.3839167165724966	0.7095073589081444	0.4152836544288814	2.323239169125274	0.3315097758507797
1a9cac9845b4a89112f46a2f3e33178c	-0.025421906712795206	-0.49165831720879805	1.1985947830452144	-0.6503830635502794	-0.7100691726469925
1abec71f0bd5d0024e3c457b172d4d23	-0.840990651849058	-0.24189733183434914	-0.28570743968351486	-0.3662737095311144	-0.3265972664618406
1b13e125454669ac7f22760665bcbdc0	0.6519106435744515	0.7384410032028823	0.4196476681007564	0.01240923166723551	0.6391481826043206
1b1887be5bfd84f74320dff168b368d1	-0.13760398745849223	-0.05362962400964211	0.0859490377678096	0.09748085499258341	0.10001642200709071
1b57a7d54611ae393105f664a6c8ddfb	-0.568470065000799	-0.018746422887358172	-0.4267051475272954	0.1986231422469169	0.701224035952098
1b5fb40366174b0fd684f958972754e7	-0.1808053147824058	-0.21278117811730812	0.02623209784166214	0.6480322694823295	0.6935096451973983
1b60c9f6b7952f881aee2f4262dfc6a9	0.0025790739028188625	0.3633583911652236	0.5076476080192744	-0.7098598116591432	-0.30584489610432897
